dialog,movie,character,_id
" We set out to save the Shire Sam and it has been saved, but not for me. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc15,5cd96e05de30eff6ebcce840
" , You don't mean that. You can't leave. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd0d,5cd96e05de30eff6ebcce841
"So you have come here for information. I have some for you. ,Something festers in the heart of Middle Earth. Something that you have failed to see. But the great eye has seen it! Even now he presses his advantage. His attack will come soon. , You are all going to die! But you know this don't you Gandalf? You cannot think that this Ranger will ever sit upon the throne of Gondor. This exile, crept from the shadows will never be crowned King. ,Gandalf does not hesitate to sacrifice those who are closest to him' those he professes to love! Tell me, what words of comfort did you give the Halfling before you sent him to his doom? The path that you have set him on can only lead to death. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea4,5cd96e05de30eff6ebcce842
Save your pity and your mercy. I have no use for it!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea4,5cd96e05de30eff6ebcce843
Saruman'.. your staff is broken!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea0,5cd96e05de30eff6ebcce844
Grima! You need not follow him! You were not always as you are now. You were once a man of Rohan. Come down.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe19,5cd96e05de30eff6ebcce845
I've heard enough! Shoot him! Stick an arrow in his gob!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd23,5cd96e05de30eff6ebcce846
The last pages are for you Sam.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc15,5cd96e05de30eff6ebcce847
Free? He will never be free!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea4,5cd96e05de30eff6ebcce848
No!,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe9d,5cd96e05de30eff6ebcce849
" My dear Sam, you cannot always be torn in two. , You will have to be one and whole for many years. You have so much to enjoy and to be and to do. Your part in the story will go on. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfc15,5cd96e05de30eff6ebcce84a
" Well, I'm back. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfd0d,5cd96e05de30eff6ebcce84b
I didn't think it would end this way.,5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfe2e,5cd96e05de30eff6ebcce84c
" End? No, the journey doesn't end here. Death is just another path, one that we all must take. , The grey rain curtain of this world rolls back and all turns to silvered glass. And then you see it. ",5cd95395de30eff6ebccde5d,5cd99d4bde30eff6ebccfea0,5cd96e05de30eff6ebcce84d
